,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24-Jun-2025,25-Jun-2025,26-Jun-2025,27-Jun-2025,30-Jun-2025,1-Jul-2025,2-Jul-2025,"Rough, Conected to other sheet",3-Jul-2025,4-Jul-2025,7-Jul-2025,8-Jul-2025,9-Jul-2025,11-Jul-2025,14-Jul-2025,15-Jul-2025,16-Jul-2025,17-Jul-2025,18-Jul-2025,21-Jul-2025,22-Jul-2025,23-Jul-2025,24-Jul-2025,25-Jul-2025,28-Jul-2025,29-Jul-2025,30-Jul-2025,31-Jul-2025,1-Aug-2025,4-Aug-2025,5-Aug-2025,7-Aug-2025,8-Aug-2025,11-Aug-2025,12-Aug-2025,13-Aug-2025,14-Aug-2025,18-Aug-2025,19-Aug-2025,20-Aug-2025,21-Aug-2025,22-Aug-2025,25-Aug-2025,26-Aug-2025,1-Sep-2025,3-Sep-2025,4-Sep-2025,5-Sep-2025,8-Sep-2025,9-Sep-2025,10-Sep-2025,11-Sep-2025,12-Sep-2025,15-Sep-2025,16-Sep-2025,17-Sep-2025,19-Sep-2025,22-Sep-2025,23-Sep-2025,24-Sep-2025,25-Sep-2025,26-Sep-2025,29-Sep-2025,30-Sep-2025,1-Oct-2025,3-Oct-2025,6-Oct-2025,7-Oct-2025,9-Oct-2025,10-Oct-2025,13-Oct-2025,14-Oct-2025,16-Oct-2025,21-Oct-2025,23-Oct-2025,24-Oct-2025,27-Oct-2025,28-Oct-2025,29-Oct-2025,30-Oct-2025,3-Nov-2025,4-Nov-2025,5-Nov-2025,6-Nov-2025,7-Nov-2025,10-Nov-2025,11-Nov-2025,12-Nov-2025,13-Nov-2025,14-Nov-2025,,,,,
,9,,site:https://www.myntra.com inurl:/buy inurl:pdp_imagetemp=,719,718,818,744,842,713,710,,777,779,710,859,809,738,650,620,889,572,621,693,558,467,507,463,471,625,585,509,470,693,418,395,431,431,401,527,603,501,532,532,500,428,461,430,410,557,496,438,401,398,401,487,462,389,385,395,653,424,414,376,448,365,613,440,480,481,367,368,363,364,452,367,480,556,351,369,351,374,378,355,355,392,353,391,428,439,316,318,315,316,,,,,"33,40,000"
,10,,site:https://www.myntra.com inurl:/buy inurl:''-x-,"1,24,000 ","1,27,000 ","1,26,000 ","1,25,000 ","1,28,000 ","1,27,000 ","1,29,000 ",,"77,300","1,27,000","1,29,000","1,30,000","1,30,000","1,28,000","1,29,000","1,29,000","1,29,000","1,30,000","1,29,000","1,29,000","1,28,000","1,29,000","1,32,000","1,30,000","1,32,000","1,31,000","1,32,000","1,32,000","1,33,000","1,33,000","1,35,000","1,33,000","1,39,000","1,39,000","1,36,000","1,37,000","1,36,000","1,36,000","1,37,000","1,37,000","1,38,000","1,38,000","1,43,000","1,41,000","1,44,000","1,44,000","1,46,000","1,46,000","1,52,000","1,48,000","1,49,000","1,50,000","1,49,000","1,51,000","1,54,000","1,51,000","1,54,000","1,54,000","1,58,000","1,54,000","1,52,000","1,51,000","1,56,000","1,55,000","1,61,000","155,000","161,000","160,000","163,000","164,000","160,000","161,000","162,000","163,000","165,000","167,000","167,000","1,68,000","1,66,000","1,66,000","1,67,000","1,70,000","1,71,000","1,72,000","1,70,000","1,74,000 ","1,71,000","1,72,000","1,76,000","1,74,000",Additional parameters,Assumed to be indexed,Total URLs (Log file),,"41,50,000"
,11,,"site:https://www.myntra.com inurl:/buy ""This product is currently sold out""","76,700","79,400","76,400","75,800","76,600","77,800","76,500",,"77,300","78,000","77,600","80,300","79,300","77,600","77,100","76,100","77,200","76,400","74,600","75,600","72,800","73,200","74,500","73,500","73,700","74,000","73,700","1,32,000","4,23,000","4,15,000","4,08,000","3,58,000","3,24,000","3,24,000","3,24,000","3,22,000","3,12,000","3,07,000","3,05,000","3,05,000","3,04,000","3,03,000","3,01,000","3,00,000","2,47,000","2,44,000","2,39,000","2,39,000","2,37,000","2,38,000","2,40,000","2,37,000","2,35,000","2,34,000","2,35,000","2,35,000","2,32,000","2,30,000","2,32,000","2,28,000"," 2,23,000","2,21,000","2,08,000","2,11,000","2,09,000","209,000","209,000","215,000","207,000","207,000","204,000","203,000","203,000","188,000","188,000","189,000","186,000","1,75,000","1,70,000","1,67,000","1,59,000","1,54,000","1,53,000","1,51,000","1,45,000","1,10,000 ","1,06,000","1,04,000","1,07,000","1,05,000",site:https://www.myntra.com/ inurl:/buy inurl:--,44,"43,000",,"37,40,000"
,12,PDP AMP Pages,site:https://www.myntra.com inurl:/amp/ inurl:/buy,"9,680","9,670","9,760","9,850","10,600","10,300","10,400",,"10,200","9,970","10,400","10,300","10,800","10,200","9,360","9,330","9,530","9,540","9,170","9,060","9,350","9,720","8,940","8,920","9,310","9,470","9,820","9,270","9,310","9,350","9,770","9,350","9,820","9,820","9,620","9,690","9,730","10,400","9,740","9,740","9,540","9,620","9,400","10,100","9,770","9,850","9,620","9,620","10,900","9,990","10,400","10,200","10,600","9,800","10,100","9,550","10,500","9,360","9,510","9,520","9,060","9,310","9,360","9,810","9,600","9,490","9,650","9,820","9,960","9,930","9,940","10,200","9,660","9,230","9,460","9,850","9,360","9,040","9,240","9,150","8,920","9,130","9,020","8,850","8,750","8,650","9,070","8,610","8,660","9,240",site:https://www.myntra.com/ inurl:/buy inurl:---,2,351,,"37,80,000"
,13,PDP Pages without Parameters: Indexed through internal links or sitemap,site:https://www.myntra.com inurl:/buy -inurl:utm_source -inurl:src -inurl:pdp -inurl:src -inurl:up= -inurl=serp -inurl=pdp_imagetemp= -inurl:/amp/,"2,65,00,000 ","2,63,00,000 ","2,62,00,000 ","2,60,00,000 ","2,62,00,000 ","2,60,00,000 ","2,59,00,000 ","6,830,000","2,57,00,000","2,55,00,003","2,51,00,000","2,49,00,000","50,90,000","48,80,000","49,50,000","49,10,000","47,10,000","45,30,000","42,90,000","46,40,000","48,00,000","49,00,000","50,00,000","51,30,000","51,80,000","52,00,000","52,50,000","51,30,000","52,20,000","52,60,000","52,90,000","54,00,000","56,30,000","56,30,000","56,80,000","58,10,000","56,80,000","55,60,000","57,00,000","57,00,000","57,40,000","57,10,000","58,30,000","58,50,000","55,20,000","56,30,000","57,30,000","58,10,000","58,80,000","58,60,000","58,70,000","58,60,000","58,00,000","59,50,000","58,80,000","58,50,000","56,80,000","58,90,000","59,30,000","57,40,000","56,70,000","57,20,000","61,10,000","61,00,000","62,70,000","6,600,000","6,760,000","6,650,000","6,650,000","6,580,000","6,600,000","6,720,000","6,770,000","6,910,000","7,010,000","7,070,000","6,830,000","67,40,000","67,70,000","67,40,000","66,10,000","66,30,000","67,10,000","67,80,000","67,00,000","64,90,000 ","64,90,000","63,80,000","63,30,000","62,60,000",site:https://www.myntra.com/ inurl:/buy inurl:%20,site:https://www.myntra.com/ inurl:/buy inurl:%20,17,,"37,80,000"
,,,site:https://www.myntra.com inurl:/amp/ inurl:/buy -intitle:amp,"9,400","9,860","9,370","9,510","9,740","9,940","10,200",,"9,580","10,600","9,600","9,920","9,850","10,300","9,270","9,660","9,020","8,870","8,860","8,580","8,880","8,820","8,580","8,660","8,910","9,670","8,840","9,000","8,810","9,000","8,900","9,020","9,230","9,230","9,290","9,380","9,860","9,230","9,120","9,120","9,230","9,780","9,790","9,610","9,290","9,370","9,370","9,370","9,690","9,810","9,710","9,970","9,650","9,710","10,100","9,270","9,050","9,770","9,060","3,44,00,000","8,760","8,570","9,520","9,310","9,520","9,740","9,360","9,460","9,470","9,840","9,510","9,350","9,180","9,420","9,240","9,070","8,940","8,720","9,130","8,640","8,800","8,660","8,860","9,220","8,420","8,440","8,810","8,240","8,320","8,480",site:https://www.myntra.com/ inurl:/buy inurl:%27,7,430,,"34,70,000"
,,,site:www.myntra.com intitle:product details inurl:/buy -inurl:utm,76,69,71,76,83,115,115,,114,83,99,115,100,153,118,191,82,73,76,79,81,81,85,86,94,115,91,87,230,115,115,98,109,109,107,115,191,125,145,145,148,148,155,306,188,192,268,268,173,164,230,146,139,125,123,121,110,153,153,98,98,115,191,98,96,115,97,93,86,115,89,89,88,82,82,84,81,82,86,115,115,85,230,87,83,90,84,76,76,76,site:https://www.myntra.com/ inurl:/buy inurl:?p=,166,783,,"32,80,000"
,14,,site:https://www.myntra.com intitle:search,116,116,118,119,135,119,134,,118,119,120,120,155,194,210,120,120,194,156,122,136,120,119,122,133,157,117,155,194,157,121,195,119,119,98,116,107,114,117,117,135,121,234,118,172,117,120,120,118,117,273,158,118,162,120,158,118,121,120,120,158,154,116,201,125,116,122,210,121,122,115,141,166,124,307,167,118,143,172,143,192,116,128,241,120,134,133,112,125,133,site:https://www.myntra.com/ inurl:/buy inurl:pdp,9,,,"35,30,000"
,15,,site:https://www.myntra.com/ inurl:/buy -inurl:/amp/ inurl:/?p=,"6,020","5,830","5,680","5,870","5,840","5,800","5,900",,"5,710","5,900","6,050","6,280","6,130","5,810","5,690","5,790","5,840","5,920","5,830","5,940","5,740","6,020","5,690","6,400","5,710","5,830","5,760","6,170","5,800","5,760","5,790","5,780","5,890","5,890","6,240","5,850","6,030","5,960","6,290","6,290","5,940","5,830","5,820","6,380","6,230","6,330","6,240","6,240","5,870","5,790","5,870","6,010","5,780","6,210","6,360","5,830","6,360","5,790","5,930","6,440","5,950","5,660","5,970","5,660","5,990","6,020","5,760","5,970","6,150","6,060","5,640","5,640","5,710","6,390","5,640","5,690","5,690","5,560","5,570","5,980","5,690","5,630","5,630","5,830","5,680","5,510","5,940","5,550","5,630","5,550",site:https://www.myntra.com/ inurl:/buy inurl:pdp_image,9,,,"35,50,000"
,16,,site:https://www.amazon.in,"7,44,00,000 ","7,54,00,000 ","7,60,00,000 ","7,62,00,000 ","7,65,00,000 ","7,73,00,000 ","7,79,00,000 ",,"7,80,00,000","7,70,00,000","7,69,00,000","7,71,00,000","7,75,00,000","9,88,00,000","8,12,00,000","7,88,00,000","7,70,00,000","7,77,00,000","7,85,00,000","7,72,00,000","7,65,00,000","7,73,00,000","7,61,00,000","7,59,00,000","7,62,00,000","7,81,00,000","7,90,00,000","8,18,00,000","8,28,00,000","8,27,00,000","8,07,00,000","8,65,00,000","9,18,00,000","9,18,00,000","9,06,00,000","9,21,00,000","9,24,00,000","10,20,00,000","9,78,00,000","9,78,00,000","10,20,00,000","10,10,00,000","11,00,00,000","6,76,00,000","10,80,00,000","10,20,00,000","10,20,00,000","10,20,00,000","11,00,00,000","10,90,00,000","11,20,00,000","11,00,00,000","11,00,00,000","11,50,00,000","11,20,00,000","11,30,00,000","11,00,00,000","10,80,00,000","11,00,00,000","10,20,00,000","9,59,00,000","9,47,00,000","8,98,00,000","9,79,00,000","9,04,00,000","95,900,000","91,500,000","93,000,000","91,200,000","92,700,000","96,000,000","97,700,000","99,900,000","99,100,000","102,000,000","99,200,000","98,400,000","9,58,00,000","9,36,00,000","9,47,00,000","9,57,00,000","9,52,00,000","9,64,00,000","9,46,00,000","9,60,00,000","9,38,00,000 ","9,30,00,000","9,35,00,000","9,19,00,000","9,58,00,000",site:https://www.myntra.com inurl:/buy?src,0,,,"37,20,000"
,17,,site:https://www.flipkart.com,"5,29,00,000 ","5,38,00,000 ","5,46,00,000 ","5,24,00,000 ","5,14,00,000 ","5,18,00,000 ","5,17,00,000 ",,"5,16,00,000","5,19,00,000","5,16,00,000","5,14,00,000","5,24,00,000","6,04,00,000","5,57,00,000","5,47,00,000","5,44,00,000","5,43,00,000","5,49,00,000","5,57,00,000","5,48,00,000","5,56,00,000","5,62,00,000","5,66,00,000","5,63,00,000","5,77,00,000","5,72,00,000","5,71,00,000","5,76,00,000","5,91,00,000","5,92,00,000","5,99,00,000","6,02,00,000","6,02,00,000","6,07,00,000","6,23,00,000","6,25,00,000","6,47,00,000","6,63,00,000","6,63,00,000","6,67,00,000","6,98,00,000","7,53,00,000","7,77,00,000","7,22,00,000","7,34,00,000","7,72,00,000","7,72,00,000","8,28,00,000","8,39,00,000","8,37,00,000","8,60,00,000","8,41,00,000","7,97,00,000","7,90,00,000","7,85,00,000","7,59,00,000","7,76,00,000","7,64,00,000","7,40,00,000","7,24,00,000","7,10,00,000","6,93,00,000","6,88,00,000","6,85,00,000","68,500,000","69,500,000","70,200,000","70,600,000","70,600,000","71,700,000","71,800,000","71,700,000","75,100,000","75,200,000","75,500,000","76,100,000","7,53,00,000","7,46,00,000","7,49,00,000","7,35,00,000","7,39,00,000","7,51,00,000","2,73,00,000","7,54,00,000","7,60,00,000 ","7,36,00,000","7,38,00,000","7,38,00,000","7,42,00,000",site:https://www.myntra.com/ inurl:/buy inurl:sort,19,,,"40,20,000"
,18,,site:https://www.snapdeal.com,"1,07,000 ","1,06,000 ","5,46,00,000 ","1,13,000 ","1,12,000 ","1,14,000 ","1,13,000 ",,"1,16,000","1,16,000","1,28,000","1,29,000","1,28,000","1,33,000","1,48,000","1,63,000","1,58,000","1,60,000","1,62,000","1,77,000","1,88,000","1,94,000","1,99,000","2,01,000","2,01,000","2,03,000","2,03,000","2,05,000","2,05,000","2,09,000","2,09,000","2,18,000","2,19,000","2,19,000","2,21,000","2,17,000","2,16,000","2,12,000","2,06,000","2,06,000","2,06,000","2,02,000","2,00,000","2,01,000","1,93,000","2,00,000","2,06,000","2,06,000","2,21,000","2,41,000","2,52,000","2,64,000","2,50,000","2,80,000","2,81,000","2,91,000","2,89,000","2,82,000","2,80,000","2,70,000","2,58,000","2,62,000","2,54,000","2,52,000","2,47,000","242,000","242,000","243,000","226,000","219,000","228,000","233,000","243,000","260,000","263,000","264,000","263,000","2,64,000","2,66,000","2,60,000","2,49,000","2,53,000","2,48,000","2,52,000","2,47,000","2,38,000 ","2,31,000","2,32,000","2,29,000","2,28,000",site:https://www.myntra.com/ inurl:/buy?uq,0,,,"32,80,000"
,19,,site:https://www.myntra.com inurl:kurtass,"4,460","4,490","4,480","4,520","4,840","4,990","5,220",,"5,410","5,190","4,860","4,990","5,210","5,140","5,400","4,970","5,120","5,480","4,920","5,120","5,080","4,950","4,970","4,900","5,060","5,230","5,140","5,220","5,230","4,940","5,620","5,110","5,270","5,270","5,350","5,220","4,910","4,940","4,930","4,930","5,010","5,060","4,740","5,140","4,850","5,390","4,980","4,980","5,510","5,020","5,420","5,230","5,010","5,020","5,120","5,140","5,070","5,100","5,040","5,260","5,040","5,390","4,980","5,040","4,970","5,040","5,120","5,130","5,050","5,140","5,070","5,090","5,180","5,090","5,270","5,150","5,200","5,550","5,060","5,010","4,910","5,550","5,190","5,410","4,790","4,440","4,490","4,580","4,430","4,400",site:https://www.myntra.com/ inurl:?sort,6,,,"30,30,000"
,20,,site:https://www.myntra.com/amp inurl:kurtass,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,site:https://www.myntra.com/ inurl:/buy?pdp,9,,,"38,00,000"
,21,Flipkart product pages,site:www.flipkart.com inurl:/p/,"5,00,00,000 ","5,14,00,000 ","5,16,00,000 ","4,94,00,000 ","4,90,00,000 ","4,84,00,000 ","4,92,00,000 ",,"4,90,00,000","4,92,00,000","4,85,00,000","4,86,00,000","5,03,00,000","5,54,00,000","5,15,00,000","5,13,00,000","5,02,00,000","5,05,00,000","5,06,00,000","4,94,00,000","4,92,00,000","4,88,00,000","5,03,00,000","4,89,00,000","4,88,00,000","4,87,00,000","4,77,00,000","4,79,00,000","4,72,00,000","4,76,00,000","4,76,00,000","4,72,00,000","4,68,00,000","4,68,00,000","4,77,00,000","4,80,00,000","4,75,00,000","4,92,00,000","5,08,00,000","5,08,00,000","5,15,00,000","5,33,00,000","5,85,00,000","6,01,00,000","5,48,00,000","5,57,00,000","5,89,00,000","5,89,00,000","6,32,00,000","6,39,00,000","6,45,00,000","6,61,00,000","6,33,00,000","6,10,00,000","6,05,00,000","5,96,00,000","5,76,00,000","5,92,00,000","5,83,00,000","5,63,00,000","5,46,00,000","5,42,00,000","5,23,00,000","5,09,00,000","5,06,00,000","50,200,000","50,700,000","51,100,000","50,900,000","51,400,000","52,000,000","51,600,000","52,200,000","55,500,000","55,700,000","56,400,000","58,000,000","5,75,00,000","5,68,00,000","5,71,00,000","5,66,00,000","5,66,00,000","5,72,00,000","5,76,00,000","5,87,00,000","5,98,00,000 ","5,82,00,000","5,88,00,000","5,81,00,000","5,85,00,000",site:https://www.myntra.com/ inurl:/buy/login?referer,2,49,,"31,70,000"
